GOLD:
d=0.10, p-value=0.9447206828815852, corr = 0.9954532871640339 
d=0.15, p-value=0.8970046652299816, corr = 0.9877229236161945 
d=0.20, p-value=0.8324929668964027, corr = 0.9755268395688506 
d=0.25, p-value=0.6426025069993427, corr = 0.959298545671402 
d=0.30, p-value=0.681901600886669, corr = 0.9377147258538914 
d=0.35, p-value=0.561009607330463, corr = 0.9101544198462147 
d=0.40, p-value=0.3948792230616355, corr = 0.8744590006954298 
d=0.45, p-value=0.26606361370991594, corr = 0.8279676693480038 
d=0.50, p-value=0.0965027443293735, corr = 0.7718998491519913 
d=0.55, p-value=0.05265530701174941, corr = 0.7048993342596803 
d=0.60, p-value=0.01621476995867235, corr = 0.6295423436190513 
d=0.65, p-value=0.003418759592031674, corr = 0.5472240732453366 
d=0.70, p-value=0.00045918706856538504, corr = 0.4654656176386668 
d=0.75, p-value=1.2950720032043998e-05, corr = 0.388650546403791 
d=0.80, p-value=1.0783868487529124e-06, corr = 0.3129123981810552 
d=0.85, p-value=2.3772361952483257e-08, corr = 0.24837954720449285 
d=0.90, p-value=7.761307469937144e-11, corr = 0.18634659739035325 
d=0.95, p-value=0.0, corr = 0.12888148568998403 
best d_value = 0.6000000000000002
