NIFTY:
d=0.10, p-value=0.9026993435562057 
d=0.15, p-value=0.8190146672297658 
d=0.20, p-value=0.6684464763414194 
d=0.25, p-value=0.4551728937870822 
d=0.30, p-value=0.4847412663280104 
d=0.35, p-value=0.29440413730395043 
d=0.40, p-value=0.13800366770091715 
d=0.45, p-value=0.07912813918268136 
d=0.50, p-value=0.018147574756290946 
d=0.55, p-value=0.00230630769313903 
d=0.60, p-value=0.0002186422452371452 
d=0.65, p-value=1.142812716469772e-05 
d=0.70, p-value=3.8726423932438917e-07 
d=0.75, p-value=8.07488741865312e-09 
d=0.80, p-value=6.993150805410507e-11 
d=0.85, p-value=8.305817920869646e-18 
d=0.90, p-value=2.077373531044946e-20 
d=0.95, p-value=2.7195623345939735e-29 
best d_value = 0.5000000000000001
