USDINR:
d=0.10, p-value=0.7127029182625336, corr = 0.9941802704247769 
d=0.15, p-value=0.5956248525171342, corr = 0.9846063320584878 
d=0.20, p-value=0.36306089587668894, corr = 0.9683199785699189 
d=0.25, p-value=0.1653878618323113, corr = 0.9441807721382597 
d=0.30, p-value=0.03464439260271247, corr = 0.9080206465596308 
d=0.35, p-value=0.01874745150308699, corr = 0.8631370668717149 
d=0.40, p-value=0.0021819340800115993, corr = 0.8113695740902636 
d=0.45, p-value=0.00021708678208205812, corr = 0.7447357318630735 
d=0.50, p-value=6.646496184710416e-06, corr = 0.6719121896809382 
d=0.55, p-value=1.664878537494386e-07, corr = 0.5911247247647501 
d=0.60, p-value=2.2350365298397362e-10, corr = 0.5066978612546463 
d=0.65, p-value=1.3101541218331857e-12, corr = 0.4229532013314133 
d=0.70, p-value=2.352411313507789e-15, corr = 0.35190066063971354 
d=0.75, p-value=1.4727803723922547e-17, corr = 0.2877890137487281 
d=0.80, p-value=5.564900176897102e-20, corr = 0.2280385455833782 
d=0.85, p-value=3.359473623047239e-22, corr = 0.1791157825463996 
d=0.90, p-value=1.9583641215956204e-24, corr = 0.13337479415695747 
d=0.95, p-value=1.996091626219718e-26, corr = 0.09166045188328463 
best d_value = 0.30000000000000004
